0,1,2,3
8,392,bell,0.246264726
8,392,frog,0.21468164
8,392,crab,0.286321282
8,393,x,0.228316844
8,393,couch,0.219203532
8,393,frog,0.228269994
8,394,frog,0.205101669
8,394,flat,0.248936385
8,394,crab,0.286607295
8,395,crab,0.234129041
8,395,bed,0.246372685
8,395,topdot,0.262076944
8,396,frog,0.207201377
8,396,book,0.202557728
8,396,crab,0.224561393
8,397,squat,0.235281453
8,397,frog,0.255524099
8,397,flat,0.255549908
8,398,frog,0.309222996
8,398,bunny,0.380342603
8,398,crab,0.295434475
8,399,a,0.313467175
8,399,crab,0.223400503
8,399,down,0.265805602
2,400,x,0.309712201
2,400,wide,0.337011755
2,400,space,0.442834765
2,401,anthea,0.291175902
2,401,hover,0.272993028
2,401,crab,0.294080287
2,402,frog,0.393577129
2,402,bunny,0.458995402
2,402,vase,0.405436516
2,403,bell,0.28467375
2,403,btrfly,0.328233004
2,403,spread,0.315975338
2,405,crab,0.298853189
2,405,rabbit,0.360332191
2,405,ball,0.464902669
2,406,kiss,0.519200146
2,406,book,0.521159947
2,406,happy,0.424924463
2,407,kickb,0.566913247
2,407,blowup,0.396958232
2,407,boxer,0.381882727
2,409,woman,0.409305722
2,409,win,0.56542623
2,409,crab,0.487051964
6,410,frog,0.213315353
6,410,crab,0.260924399
6,410,down,0.230109379
6,411,frog,0.306783974
6,411,rabbit,0.266708851
6,411,crab,0.367601961
6,412,bench,0.259091973
6,412,bunny,0.259406328
6,412,crab,0.279229999
6,413,couch,0.265896738
6,413,vee,0.305214018
6,413,v,0.257780463
6,414,lift,0.297689646
6,414,bunny,0.361332685
6,414,hole,0.339550167
6,415,whale,0.289813012
6,415,bunny,0.331050515
6,415,crab,0.237735584
6,416,cheer,0.223225296
6,416,bunny,0.27496326
6,416,crab,0.241470814
6,417,bunny,0.351998776
6,417,crab,0.303382397
6,417,upsun,0.297279626
6,418,whale,0.27219677
6,418,sumo,0.24548392
6,418,crab,0.268136442
6,419,kiss,0.344586641
6,419,bunny,0.333438158
6,419,crab,0.325234234
6,420,squat,0.275927693
6,420,bell,0.287594825
6,420,crab,0.269896895
6,421,crab,0.301063955
6,421,keyhol,0.344355345
6,421,ball,0.423219591
6,422,a,0.288320094
6,422,crab,0.282581389
6,422,topdot,0.348920316
8,425,sword,0.207701787
8,425,frog,0.269448012
8,425,crab,0.202544019
8,426,frog,0.218149886
8,426,kissin,0.24108918
8,426,bowtie,0.233559415
8,427,fish,0.238025606
8,427,book,0.258574009
8,427,crab,0.237975866
8,428,frog,0.222473666
8,428,rabbit,0.339060307
8,428,crab,0.268826813
8,429,couch,0.281339794
8,429,frog,0.339095801
8,429,crab,0.300197661
8,430,frog,0.211826459
8,430,book,0.288223803
8,430,crab,0.235861063
8,431,frog,0.268265426
8,431,crab,0.261319757
8,431,vase,0.295802891
8,432,kiss,0.252524585
8,432,crab,0.260187447
8,432,ball,0.345443994
8,433,frog,0.282802463
8,433,flat,0.294648319
8,433,crab,0.291626185
6,434,frog,0.263106883
6,434,float,0.364482045
6,434,crab,0.329312325
6,435,frog,0.272616535
6,435,ball,0.433399141
6,435,totem,0.261619568
6,436,whale,0.164950296
6,436,read,0.217870563
6,436,crab,0.217187256
6,437,hug,0.262307465
6,437,rabbit,0.333895087
6,437,crab,0.324138582
6,438,frog,0.22626546
6,438,sofa,0.242434815
6,438,crab,0.238859519
24,708,whale,0.271428466
24,708,frog,0.236036584
24,708,crab,0.206253916
24,716,frog,0.218227893
24,716,bunny,0.301979125
24,716,crab,0.233653083
24,717,couch,0.178772062
24,717,frog,0.198055193
24,717,crab,0.215488672
24,718,frog,0.197850063
24,718,rabbit,0.210128382
24,718,crab,0.206689849
24,727,frog,0.229826018
24,727,crab,0.237839863
24,727,ball,0.264359981
24,728,frog,0.23322396
24,728,bunny,0.312911808
24,728,crab,0.250754237
